x1,y1,x2,y2
356.1129032258064,655.9195161290322,216.5198198644041,1139.6589548176376
501.9516129032257,648.4679032258064,295.398426287921,1139.6589548176376
365.69354838709666,555.8549999999999,216.5198198644041,1059.528307022319
488.1129032258064,549.4679032258064,297.9025090315247,1059.528307022319
372.0806451612902,479.20983870967746,217.77186123620618,985.6578660860099
476.40322580645153,471.7582258064516,296.6504676597226,980.6497005988025
375.274193548387,427.04854838709684,220.27594397980988,900.5190528034841
471.0806451612902,424.9195161290322,300.4065917751284,899.2670114316822
380.59677419354836,381.27435483870977,220.27594397980988,819.1363636363639
463.62903225806446,378.08080645161294,299.1545504033263,821.6404463799676
385.9193548387096,347.20983870967746,219.0239026080078,736.5016330974416
458.3064516129031,347.20983870967746,299.1545504033263,740.2577572128472
392.3064516129031,317.4033870967743,219.0239026080078,655.1189439303214
451.9193548387096,312.08080645161294,301.65863314693,656.3709853021232
399.75806451612897,295.04854838709684,220.27594397980988,574.9882961350029
447.66129032258056,293.98403225806464,297.9025090315247,573.736254763201
643.5322580645161,641.0162903225805,379.2851981986448,1143.415078933043
607.3387096774193,545.2098387096773,379.2851981986448,1058.2762656505174
580.7258064516129,473.8872580645161,378.0331568268432,980.6497005988025
561.5645161290322,416.40338709677417,378.0331568268432,903.0231355470878
548.7903225806451,379.14532258064514,376.7811154550411,820.3884050081657
536.016129032258,342.95177419354843,378.0331568268432,739.0057158410453
525.3709677419354,315.27435483870977,379.2851981986448,656.3709853021232
514.7258064516129,291.85500000000013,378.0331568268432,573.736254763201
431.69354838709666,652.7259677419354,256.58514376206335,1140.9109961894394
428.49999999999994,552.6614516129032,256.58514376206335,1057.0242242787153
423.1774193548386,478.14532258064514,257.83718513386543,983.1537833424062
423.1774193548386,427.04854838709684,260.34126787746914,899.2670114316822
422.1129032258064,382.33887096774197,259.08922650566706,821.6404463799676
419.9838709677419,346.14532258064526,259.08922650566706,740.2577572128472
423.1774193548386,317.4033870967743,259.08922650566706,657.6230266739251
424.2419354838709,295.04854838709684,260.34126787746914,574.9882961350029
571.1451612903224,645.2743548387095,335.46375018558024,1142.1630375612413
553.0483870967741,547.3388709677419,339.21987430098557,1062.0323897659227
533.8870967741934,473.8872580645161,340.47191567278765,979.3976592270006
522.1774193548385,423.855,340.47191567278765,900.5190528034841
508.3387096774192,378.08080645161294,341.72395704458927,821.6404463799676
503.016129032258,345.08080645161294,339.21987430098557,737.7536744692435
